Time,PID_ans,Distance_err
0.0,0,0.0
0.02,151,1.087
0.04,1,1.087
0.06,153,2.175
0.08,3,2.175
0.1,3,2.175
0.12,307,4.349
0.14,158,5.436
0.16,312,7.611
0.18,164,8.698
0.2,317,10.873
0.22,169,11.96
0.24,171,13.047
0.26,173,14.134
0.28,175,15.222
0.3,176,16.309
0.32,178,17.396
0.34,28,17.396
0.36,180,18.483
0.38,-120,17.396
0.4,181,18.483
0.42,-272,16.309
0.44,27,16.309
0.46,-123,15.222
0.48,26,15.222
0.5,-125,14.134
0.52,-127,13.047
0.54,-128,11.96
0.56,-130,10.873
0.58,-132,9.785
0.6,-133,8.698
0.62,-135,7.611
0.64,-440,4.349
0.66,-294,2.175
0.68,-145,1.087
0.7,-147,0.0
0.72,2,0.0
0.74,-301,-2.175
0.76,-1,-2.175
0.78,-1,-2.175
0.8,-1,-2.175
0.82,-1,-2.175
0.84,150,-1.087
0.86,0,-1.087
0.88,303,1.087
0.9,155,2.175
0.92,5,2.175
0.94,157,3.262
0.96,159,4.349
0.98,161,5.436
1.0,162,6.524
1.02,164,7.611
1.04,14,7.611
1.06,166,8.698
1.08,16,8.698
1.1,16,8.698
1.12,168,9.785
1.14,-133,8.698
1.16,16,8.698
1.18,-134,7.611
1.2,166,8.698
1.22,-134,7.611
1.24,-136,6.524
1.26,13,6.524
1.28,-138,5.436
1.3,11,5.436
1.32,-139,4.349
1.34,10,4.349
1.36,-141,3.262
1.38,-143,2.175
1.4,6,2.175
1.42,-145,1.087
1.44,-146,0.0
1.46,154,1.087
1.48,-146,0.0
1.501,3,0.0
1.521,-148,-1.087
1.541,153,0.0
1.561,-148,-1.087
1.581,1,-1.087
1.601,153,0.0
1.621,-148,-1.087
1.641,153,0.0
1.661,3,0.0
1.681,154,1.087
1.701,156,2.175
1.721,6,2.175
1.741,6,2.175
1.761,6,2.175
1.781,6,2.175
1.801,6,2.175
1.821,6,2.175
1.841,158,3.262
1.861,-143,2.175
1.881,158,3.262
1.901,8,3.262
1.921,8,3.262
1.941,160,4.349
1.961,-141,3.262
1.981,8,3.262
2.001,8,3.262
2.021,-143,2.175
2.041,7,2.175
2.061,7,2.175
2.081,-144,1.087
2.101,5,1.087
2.121,5,1.087
2.141,-146,0.0
2.161,3,0.0
2.181,3,0.0
2.201,3,0.0
2.221,3,0.0
2.241,-148,-1.087
2.261,153,0.0
2.281,-299,-2.175
2.301,0,-2.175
2.321,0,-2.175
2.341,0,-2.175
2.361,151,-1.087
2.381,1,-1.087
2.401,1,-1.087
2.421,153,0.0
2.441,-148,-1.087
2.461,153,0.0
2.481,155,1.087
2.501,-146,0.0
2.521,3,0.0
2.541,155,1.087
2.561,-146,0.0
2.581,3,0.0
2.601,3,0.0
2.621,155,1.087
2.641,156,2.175
2.661,6,2.175
2.681,7,2.175
2.701,7,2.175
2.721,7,2.175
2.741,7,2.175
2.761,7,2.175
2.781,-144,1.087
2.801,157,2.175
2.821,7,2.175
2.841,7,2.175
2.861,7,2.175
2.881,7,2.175
2.901,310,4.349
2.921,-141,3.262
2.941,8,3.262
2.961,-142,2.175
2.981,7,2.175
3.001,159,3.262
3.021,-142,2.175
3.041,-144,1.087
3.061,-146,0.0
3.081,-147,-1.087
3.101,2,-1.087
3.121,-301,-3.262
3.141,-153,-4.349
3.161,-3,-4.349
3.181,-3,-4.349
3.201,-3,-4.349
3.221,148,-3.262
3.241,-305,-5.436
3.261,146,-4.349
3.281,148,-3.262
3.301,-153,-4.349
3.321,148,-3.262
3.341,-1,-3.262
3.361,-153,-4.349
3.381,-3,-4.349
3.401,148,-3.262
3.421,149,-2.175
3.441,303,0.0
3.461,155,1.087
3.481,5,1.087
3.501,156,2.175
3.521,158,3.262
3.541,8,3.262
3.561,8,3.262
3.581,8,3.262
3.601,8,3.262
3.621,160,4.349
3.641,10,4.349
3.661,-141,3.262
3.681,312,5.436
3.701,12,5.436
3.721,12,5.436
3.741,-139,4.349
3.761,-141,3.262
3.781,9,3.262
3.801,-142,2.175
3.821,-144,1.087
3.841,-146,0.0
3.861,3,0.0
3.881,-147,-1.087
3.901,760,4.349
3.921,-140,3.262
3.941,9,3.262
3.961,-142,2.175
3.981,-144,1.087
4.001,-146,0.0
4.021,-147,-1.087
4.041,-149,-2.175
4.061,-303,-4.349
4.081,-154,-5.436
4.101,-5,-5.436
4.121,-156,-6.524
4.141,-158,-7.611
4.161,143,-6.524
4.181,-158,-7.611
4.201,446,-4.349
4.221,-3,-4.349
4.241,148,-3.262
4.261,-1,-3.262
4.281,-1,-3.262
4.301,149,-2.175
4.321,151,-1.087
4.341,1,-1.087
4.361,608,3.262
4.381,8,3.262
4.401,8,3.262
4.421,160,4.349
4.441,-141,3.262
4.462,8,3.262
4.482,8,3.262
4.502,-142,2.175
4.522,-144,1.087
4.542,157,2.175
4.562,-144,1.087
4.582,-146,0.0
4.602,-148,-1.087
4.622,1,-1.087
4.642,-149,-2.175
4.662,-151,-3.262
4.682,-153,-4.349
4.702,148,-3.262
4.722,-153,-4.349
4.742,-3,-4.349
4.762,-155,-5.436
4.782,-5,-5.436
4.802,-5,-5.436
4.822,146,-4.349
4.842,-155,-5.436
4.862,449,-2.175
4.882,-151,-3.262
4.902,149,-2.175
4.922,0,-2.175
4.942,0,-2.175
4.962,0,-2.175
4.982,151,-1.087
5.002,-150,-2.175
5.022,151,-1.087
5.042,1,-1.087
5.062,-150,-2.175
5.082,151,-1.087
5.102,-150,-2.175
5.122,0,-2.175
5.142,151,-1.087
5.162,304,1.087
5.182,4,1.087
5.202,-146,0.0
5.222,3,0.0
5.242,-148,-1.087
5.262,153,0.0
5.282,-148,-1.087
5.302,1,-1.087
5.322,-302,-3.262
5.342,149,-2.175
5.362,-152,-3.262
5.382,-153,-4.349
5.402,-155,-5.436
5.422,-5,-5.436
5.442,-157,-6.524
5.462,-7,-6.524
5.482,-7,-6.524
5.502,-7,-6.524
5.522,-7,-6.524
5.542,143,-5.436
5.562,-6,-5.436
5.582,145,-4.349
5.602,-4,-4.349
5.622,147,-3.262
5.642,-154,-4.349
5.662,147,-3.262
5.682,-2,-3.262
5.702,149,-2.175
5.722,-152,-3.262
5.742,148,-2.175
5.762,-1,-2.175
5.782,150,-1.087
5.802,0,-1.087
5.822,0,-1.087
5.842,152,0.0
5.862,2,0.0
5.882,2,0.0
5.902,2,0.0
5.922,2,0.0
5.942,2,0.0
5.962,2,0.0
5.982,-149,-1.087
6.002,0,-1.087
6.022,0,-1.087
6.042,-151,-2.175
6.062,-1,-2.175
6.082,-1,-2.175
6.102,-152,-3.262
6.122,-2,-3.262
6.142,-154,-4.349
6.162,147,-3.262
6.182,-2,-3.262
6.202,-3,-3.262
6.222,-154,-4.349
6.242,146,-3.262
6.262,-3,-3.262
6.282,-3,-3.262
6.302,-3,-3.262
6.322,-3,-3.262
6.342,148,-2.175
6.362,-1,-2.175
6.382,-1,-2.175
6.402,-153,-3.262
6.422,-3,-3.262
6.442,148,-2.175
6.462,-1,-2.175
6.482,-1,-2.175
6.502,-1,-2.175
6.522,-1,-2.175
6.542,150,-1.087
6.562,0,-1.087
6.582,151,0.0
6.602,-149,-1.087
6.622,0,-1.087
6.642,151,0.0
6.662,1,0.0
6.682,-149,-1.087
6.702,151,0.0
6.722,1,0.0
6.742,-149,-1.087
6.762,0,-1.087
6.782,0,-1.087
6.802,0,-1.087
6.822,-151,-2.175
6.842,-1,-2.175
6.862,-153,-3.262
6.882,148,-2.175
6.902,-1,-2.175
6.922,-153,-3.262
6.942,148,-2.175
6.962,-1,-2.175
6.982,-1,-2.175
7.002,-1,-2.175
7.022,-153,-3.262
7.042,148,-2.175
7.062,-153,-3.262
7.082,148,-2.175
7.102,-153,-3.262
7.122,-3,-3.262
7.142,-3,-3.262
7.162,-3,-3.262
7.182,148,-2.175
7.202,-1,-2.175
7.222,149,-1.087
7.242,0,-1.087
7.262,0,-1.087
7.282,0,-1.087
7.302,151,0.0
7.322,1,0.0
7.342,1,0.0
7.362,1,0.0
7.382,153,1.087
7.402,3,1.087
7.422,-300,-1.087
7.443,151,0.0
7.463,1,0.0
7.483,-150,-1.087
7.503,151,0.0
7.523,-150,-1.087
7.543,0,-1.087
7.563,-152,-2.175
7.583,-153,-3.262
7.603,147,-2.175
7.623,-2,-2.175
7.643,-153,-3.262
7.663,-3,-3.262
7.683,147,-2.175
7.703,-153,-3.262
7.723,299,-1.087
7.743,151,0.0
7.763,1,0.0
7.783,1,0.0
7.803,1,0.0
7.823,1,0.0
7.843,1,0.0
7.863,1,0.0
7.883,1,0.0
7.903,-150,-1.087
7.923,0,-1.087
7.943,151,0.0
7.963,-150,-1.087
7.983,0,-1.087
8.003,151,0.0
8.023,-150,-1.087
8.043,0,-1.087
8.063,-152,-2.175
8.083,149,-1.087
8.103,151,0.0
8.123,-150,-1.087
8.143,0,-1.087
8.163,0,-1.087
8.183,0,-1.087
8.203,0,-1.087
8.223,-152,-2.175
8.243,-154,-3.262
8.263,147,-2.175
8.283,-2,-2.175
8.303,-154,-3.262
8.323,147,-2.175
8.343,-2,-2.175
8.363,-154,-3.262
8.383,147,-2.175
8.403,-2,-2.175
8.423,-2,-2.175
8.443,149,-1.087
8.463,-152,-2.175
8.483,149,-1.087
8.503,0,-1.087
8.523,151,0.0
8.543,-150,-1.087
8.563,0,-1.087
8.583,151,0.0
8.603,1,0.0
8.623,-302,-2.175
8.643,149,-1.087
8.663,0,-1.087
8.683,0,-1.087
8.703,0,-1.087
8.723,0,-1.087
8.743,0,-1.087
8.763,150,0.0
8.783,-150,-1.087
8.803,0,-1.087
8.823,150,0.0
8.843,152,1.087
8.863,2,1.087
8.883,2,1.087
8.903,2,1.087
8.923,-148,0.0
8.943,152,1.087
8.963,-148,0.0
8.983,1,0.0
9.003,152,1.087
9.023,-148,0.0
9.043,1,0.0
9.063,-150,-1.087
9.083,0,-1.087
9.103,0,-1.087
9.123,-152,-2.175
9.143,-2,-2.175
9.163,-2,-2.175
9.183,-2,-2.175
9.203,-154,-3.262
9.223,147,-2.175
9.243,-2,-2.175
9.263,149,-1.087
9.283,-152,-2.175
9.303,149,-1.087
9.323,0,-1.087
9.343,0,-1.087
9.363,0,-1.087
9.383,150,0.0
9.403,0,0.0
9.423,0,0.0
9.443,0,0.0
9.463,152,1.087
9.483,-149,0.0
9.503,152,1.087
9.523,2,1.087
9.543,154,2.175
9.563,-147,1.087
9.583,154,2.175
9.603,-299,0.0
9.623,0,0.0
9.643,0,0.0
9.663,0,0.0
9.683,0,0.0
9.703,-150,-1.087
