Time,Compass_azimuth_raw,Compass_azimuth,Gyro_z_raw,Gyro_z,Delta_angle
0.004,151.902,176.645,0.145,0.01,-0.005
0.014,152.058,176.67,0.206,0.02,-0.003
0.024,151.902,176.702,0.038,-0.016,-0.004
0.034,151.912,176.781,0.015,-0.048,-0.009
0.044,151.788,176.745,0.046,-0.064,-0.015
0.054,151.917,176.787,0.008,-0.086,-0.024
0.064,151.923,176.774,0.122,-0.074,-0.031
0.074,151.855,176.759,0.267,-0.029,-0.034
0.084,152.162,176.914,0.13,-0.029,-0.037
0.094,151.657,176.807,0.137,-0.027,-0.04
0.104,151.989,176.812,0.137,-0.026,-0.042
0.114,152.265,176.95,0.259,0.006,-0.042
0.124,152.033,177.012,0.175,0.008,-0.041
0.134,152.201,177.092,0.229,0.024,-0.039
0.144,152.037,177.105,0.206,0.029,-0.036
0.154,152.329,177.25,0.168,0.024,-0.033
0.164,152.263,177.36,0.229,0.035,-0.03
0.174,152.354,177.583,0.107,0.013,-0.029
0.184,152.301,177.801,0.252,0.033,-0.025
0.194,152.055,177.883,0.122,0.016,-0.024
0.204,152.434,178.112,0.206,0.023,-0.021
0.214,152.317,178.297,0.122,0.008,-0.021
0.224,152.305,178.41,0.275,0.035,-0.017
0.234,151.788,178.211,19.751,4.924,0.475
0.244,150.52,177.351,28.738,10.838,1.559
0.254,150.327,176.478,33.88,16.559,3.215
0.264,149.849,175.257,40.876,22.598,5.475
0.274,149.006,173.568,38.046,26.42,8.117
0.284,148.039,171.582,34.91,28.503,10.967
0.294,147.071,169.241,36.734,30.521,14.019
0.305,147.13,167.337,39.526,32.732,17.292
0.315,145.859,165.028,40.548,34.646,20.757
0.325,144.796,162.354,41.692,36.368,24.394
0.335,143.25,159.182,39.595,37.135,28.107
0.345,142.756,156.079,39.442,37.672,31.875
0.355,142.504,153.287,37.916,37.693,35.644
0.365,141.404,150.201,44.012,39.233,39.567
0.375,140.903,147.257,42.211,39.938,43.561
0.385,140.506,144.442,31.637,37.823,47.343
0.395,138.446,140.96,33.461,36.692,51.012
0.405,138.21,137.778,44.447,38.591,54.872
0.415,136.784,134.325,46.575,40.547,58.926
0.425,136.843,131.273,43.195,41.169,63.043
0.435,135.798,128.09,37.832,40.295,67.073
0.445,134.587,124.738,40.396,40.28,71.101
0.455,131.87,120.639,42.516,40.8,75.181
0.465,131.882,117.013,40.746,40.746,79.255
0.475,130.807,113.393,41.067,40.787,83.334
0.485,130.74,110.107,37.374,39.894,87.323
0.495,129.588,106.692,31.874,37.849,91.108
0.505,128.684,103.242,34.956,37.086,94.817
0.515,129.281,99.988,34.117,36.304,98.447
0.525,127.71,96.613,44.813,38.391,102.286
0.535,128.363,93.431,31.485,36.625,105.949
0.545,127.482,90.318,38.732,37.112,109.66
0.555,127.368,86.974,42.173,38.337,113.494
0.565,126.003,83.717,39.8,38.663,117.36
0.575,126.247,80.471,45.385,40.304,121.39
0.585,126.364,77.336,37.611,39.591,125.35
0.595,125.618,73.962,45.179,40.948,129.444
0.605,127.087,70.377,40.815,40.875,133.532
0.615,127.203,66.723,45.972,42.109,137.743
0.625,128.193,62.79,49.184,43.838,142.127
0.635,128.907,59.064,36.123,41.87,146.314
0.645,127.833,55.259,40.899,41.587,150.472
0.655,128.884,51.206,39.32,40.98,154.57
0.665,128.832,47.529,44.355,41.784,158.749
0.675,129.18,44.025,33.911,39.776,162.726
0.685,131.503,39.925,42.249,40.355,166.762
0.695,132.441,35.709,39.06,39.991,170.761
0.705,135.699,30.792,32.469,38.071,174.568
0.715,136.314,26.044,34.414,37.117,178.28
0.725,137.086,21.647,43.592,38.696,182.149
0.735,138.599,16.75,39.564,38.873,186.037
0.745,140.178,11.8,35.078,37.884,189.825
0.755,143.038,6.255,33.484,36.744,193.499
0.765,142.893,1.798,40.541,37.654,197.265
0.775,145.775,356.786,40.014,38.204,201.085
0.785,147.056,351.991,34.254,37.177,204.803
0.795,148.497,347.138,41.998,38.342,208.637
0.805,152.546,341.451,43.508,39.594,212.596
0.815,152.23,336.541,35.345,38.492,216.446
0.826,156.54,330.69,42.28,39.399,220.386
0.836,155.807,325.701,38.023,39.015,224.287
0.846,159.135,320.023,38.259,38.786,228.166
0.856,161.619,314.25,43.607,39.952,232.161
0.866,161.607,309.059,37.313,39.252,236.086
0.876,162.765,303.943,41.754,39.838,240.07
0.886,162.892,299.129,49.68,42.258,244.296
0.896,161.994,294.967,47.361,43.494,248.645
0.906,161.746,291.094,39.038,42.34,252.879
0.916,161.413,287.032,41.876,42.184,257.098
0.926,162.21,283.073,37.405,40.95,261.192
0.936,160.064,279.278,42.494,41.296,265.322
0.946,161.056,275.257,35.002,39.682,269.29
0.956,163.361,271.512,10.986,32.468,272.537
0.966,161.049,267.727,39.045,34.073,275.944
0.976,159.43,263.792,41.044,35.776,279.522
0.986,158.549,259.764,49.512,39.17,283.439
0.996,159.206,255.83,41.25,39.65,287.404
1.006,158.49,252.0,45.362,41.038,291.508
1.016,156.74,247.988,39.274,40.557,295.564
1.026,157.545,243.94,38.702,40.054,299.569
1.036,155.756,239.671,36.917,39.23,303.492
1.046,154.349,235.432,24.1,35.407,307.033
1.056,154.6,231.113,42.112,37.044,310.737
1.066,153.635,226.532,34.559,36.383,314.375
1.076,154.631,222.906,40.045,37.258,318.101
1.086,152.346,218.02,44.584,39.05,322.006
1.096,152.235,213.479,39.32,39.078,325.914
1.106,150.042,208.22,35.696,38.192,329.733
1.116,148.97,202.672,39.404,38.455,333.579
1.126,148.241,197.137,32.767,36.993,337.278
1.136,147.789,192.054,29.951,35.193,340.797
1.146,146.175,186.363,39.396,36.204,344.418
1.156,144.41,180.192,41.441,37.473,348.165
1.166,143.765,174.311,35.734,36.999,351.865
1.176,143.42,168.928,32.309,35.786,355.443
1.186,142.853,164.136,35.574,35.693,359.013
1.196,141.976,159.415,42.204,37.281,362.741
1.206,140.557,154.521,36.009,36.923,366.433
1.216,140.244,150.234,24.008,33.655,369.799
1.226,140.081,146.518,49.749,37.638,373.562
1.236,138.273,142.335,46.033,39.697,377.532
1.246,137.394,138.316,44.874,40.952,381.627
1.256,135.637,133.916,43.615,41.578,385.785
1.266,135.252,129.902,45.66,42.558,390.041
1.276,134.716,126.175,39.282,41.699,394.211
1.286,133.593,122.431,36.642,40.395,398.25
1.296,132.523,118.721,37.443,39.617,402.212
1.306,131.308,115.001,36.848,38.885,406.101
1.316,131.463,111.721,42.516,39.753,410.076
1.326,130.452,108.405,27.67,36.693,413.745
1.337,129.727,105.238,37.039,36.739,417.419
1.347,128.361,102.019,39.358,37.354,421.155
1.357,128.357,98.731,45.682,39.396,425.094
1.367,126.733,95.344,35.902,38.483,428.942
1.377,126.867,92.152,39.259,38.637,432.806
1.387,126.441,88.877,33.652,37.351,436.541
1.397,127.399,85.653,39.099,37.748,440.316
1.407,125.822,82.482,41.021,38.526,444.169
1.417,125.913,79.332,36.055,37.869,447.956
1.427,126.763,76.008,41.83,38.819,451.837
1.437,126.646,72.444,41.876,39.543,455.792
1.447,125.925,69.162,35.818,38.572,459.649
1.457,127.971,65.288,44.004,39.89,463.638
1.467,126.933,61.376,40.121,39.908,467.629
1.477,129.309,57.234,37.451,39.254,471.554
1.487,128.862,53.56,32.37,37.493,475.303
1.497,129.546,49.397,44.363,39.171,479.221
1.507,130.083,45.295,39.907,39.315,483.152
1.517,133.081,40.38,43.813,40.4,487.192
1.527,132.602,36.013,40.418,40.365,491.228
1.537,134.228,31.48,36.833,39.442,495.173
1.547,134.61,27.059,37.275,38.86,499.059
1.557,137.899,21.769,40.701,39.281,502.987
1.567,139.832,16.436,41.197,39.72,506.959
1.577,139.943,11.715,35.299,38.575,510.816
1.587,141.739,6.903,37.138,38.176,514.634
1.597,144.137,1.93,39.038,38.351,518.469
1.607,146.641,356.663,41.441,39.084,522.377
1.617,149.789,350.762,46.949,41.01,526.478
1.627,150.494,345.37,41.334,41.051,530.583
1.637,152.043,340.009,40.388,40.846,534.668
1.647,155.173,334.206,41.99,41.092,538.777
1.657,158.9,327.84,33.919,39.259,542.703
1.667,159.614,322.058,41.242,39.715,546.674
1.677,157.975,317.332,36.825,38.953,550.57
1.687,159.571,312.669,42.265,39.741,554.544
1.697,159.612,308.246,38.366,39.357,558.48
1.707,160.519,304.049,34.483,38.099,562.289
1.717,160.847,299.772,36.474,37.653,566.055
1.727,163.07,295.297,36.52,37.33,569.788
1.737,163.376,290.627,34.056,36.471,573.435
1.747,163.575,286.131,44.599,38.464,577.281
1.757,162.638,282.128,37.84,38.268,581.108
1.767,161.913,278.238,38.656,38.325,584.94
1.777,162.166,274.477,43.668,39.621,588.903
1.787,161.086,270.649,48.231,41.734,593.076
1.797,160.015,266.805,39.846,41.222,597.198
1.807,160.069,262.713,42.631,41.534,601.352
1.817,158.713,258.629,34.025,39.617,605.313
1.827,159.483,254.91,33.125,37.954,609.109
1.837,157.556,251.047,27.007,35.178,612.626
1.848,157.099,247.169,40.121,36.374,616.264
1.858,158.182,243.743,48.368,39.332,620.197
1.868,155.218,239.57,42.936,40.193,624.216
1.878,153.72,234.735,42.799,40.805,628.297
1.888,153.451,229.716,37.077,39.833,632.28
1.898,152.735,224.401,44.202,40.886,636.369
1.908,152.428,219.352,40.296,40.698,640.439
1.918,150.952,213.856,40.533,40.617,644.5
1.928,150.016,208.406,45.225,41.729,648.673
1.938,149.138,202.54,36.375,40.351,652.708
1.948,149.424,197.592,33.468,38.59,656.567
1.958,148.933,193.152,38.809,38.605,660.428
1.968,148.229,188.59,47.132,40.697,664.497
1.978,148.073,184.493,47.117,42.262,668.724
1.988,146.512,179.898,37.039,40.916,672.815
1.998,143.512,174.17,32.263,38.713,676.687
2.008,142.813,168.701,36.039,38.005,680.487
2.018,141.556,163.312,44.538,39.598,684.447
2.028,140.591,157.883,40.876,39.878,688.435
2.038,140.53,153.325,37.291,39.191,692.354
2.048,139.291,148.65,43.089,40.126,696.366
2.058,138.05,143.954,40.945,40.291,700.396
2.068,137.019,139.43,42.234,40.737,704.469
2.078,137.067,135.637,38.549,40.15,708.484
2.088,135.498,131.579,39.366,39.914,712.476
2.098,135.076,127.898,45.339,41.23,716.599
2.108,133.393,123.937,36.413,39.986,720.597
2.118,133.084,120.325,44.012,40.953,724.693
2.128,131.162,116.4,39.701,40.6,728.753
2.138,131.204,112.903,34.643,39.071,732.66
2.148,131.749,109.682,34.697,37.938,736.453
2.158,130.601,106.308,41.944,38.899,740.343
2.168,129.314,102.902,55.005,42.886,744.632
2.178,128.264,99.385,37.779,41.569,748.789
2.188,127.725,96.0,41.174,41.431,752.932
2.198,127.649,92.635,34.994,39.782,756.91
2.208,126.32,89.094,47.78,41.741,761.084
2.218,126.789,85.888,38.885,40.988,765.183
2.228,127.355,82.787,41.975,41.194,769.302
2.238,126.113,79.746,47.803,42.807,773.583
2.248,126.266,76.896,30.119,39.595,777.543
2.258,124.911,73.449,42.448,40.268,781.569
2.268,125.274,70.299,33.713,38.59,785.428
2.278,126.712,67.004,37.741,38.338,789.262
2.288,127.37,63.803,48.528,40.845,793.347
2.298,126.87,60.502,42.577,41.238,797.471
2.308,127.683,56.725,42.333,41.472,801.618
2.318,128.023,53.42,43.836,42.023,805.82
2.328,129.48,49.662,40.869,41.695,809.99
2.338,129.907,45.731,34.857,39.946,813.984
2.348,130.015,42.175,33.339,38.254,817.81
2.359,130.815,38.356,31.546,36.537,821.463
2.369,132.699,34.047,33.095,35.637,825.027
2.379,133.128,30.038,34.43,35.295,828.556
2.389,137.276,25.036,38.092,35.954,832.152
2.399,140.519,19.365,42.593,37.574,835.909
2.409,142.182,13.703,37.771,37.583,839.668
2.419,142.373,8.55,54.402,41.748,843.842
2.429,144.462,3.089,36.726,40.453,847.888
2.439,147.071,357.554,40.258,40.364,851.924
2.449,150.164,351.503,32.965,38.475,855.772
2.459,152.171,345.46,42.73,39.499,859.722
2.469,153.252,339.738,46.888,41.306,863.852
2.479,157.264,333.248,40.876,41.159,867.968
2.489,156.912,327.665,46.85,42.542,872.222
2.499,160.526,321.63,39.846,41.828,876.405
2.509,159.485,316.565,42.188,41.878,880.593
2.519,161.873,311.355,40.754,41.557,884.749
2.529,161.725,306.788,34.651,39.791,888.728
2.539,163.448,302.074,42.234,40.362,892.764
2.549,163.995,297.565,31.088,38.004,896.564
2.559,165.894,292.874,38.961,38.203,900.385
2.569,163.115,288.665,44.164,39.654,904.35
2.579,164.461,284.416,43.264,40.516,908.402
2.589,162.822,280.462,31.416,38.201,912.222
2.599,161.98,276.666,32.942,36.847,915.906
2.609,160.747,272.963,34.895,36.319,919.538
2.619,160.763,269.195,28.372,34.292,922.967
2.629,161.016,265.477,45.293,37.003,926.668
2.639,160.906,261.766,41.761,38.153,930.483
2.649,158.901,257.834,50.145,41.111,934.594
2.659,157.836,253.62,41.532,41.176,938.712
2.669,157.35,249.655,48.345,42.929,943.005
2.679,155.393,245.191,0.122,32.187,946.223
2.689,155.429,240.833,-0.008,24.099,948.633
2.699,155.48,236.756,0.191,18.082,950.441
2.709,155.02,233.189,0.259,13.586,951.8
2.719,154.973,229.988,0.16,10.19,952.819
2.729,155.193,227.009,0.145,7.639,953.583
2.739,155.269,224.428,0.0,5.689,954.152
2.749,155.288,221.877,0.015,4.231,954.575
2.759,155.55,219.573,0.175,3.177,954.893
2.769,155.546,217.819,0.069,2.36,955.129
2.779,155.234,215.937,0.107,1.757,955.304
2.789,151.947,211.895,0.099,1.303,955.435
2.799,151.741,208.029,0.236,0.996,955.534
2.809,152.928,205.089,0.038,0.717,955.606
2.819,151.635,201.76,0.153,0.536,955.66
2.829,151.726,198.692,0.32,0.442,955.704
2.839,152.116,196.097,0.198,0.341,955.738
2.849,152.734,194.37,-4.173,-0.827,955.655
2.859,150.379,191.411,-9.681,-3.08,955.347
2.87,150.66,188.958,-13.229,-5.657,954.781
