Time,Left,Right,Diff
0.0,0.0,0.0,0.0
0.1,11.525,20.549,-9.024
0.2,36.967,59.581,-22.615
0.3,67.41,101.876,-34.466
0.4,100.68,140.256,-39.576
0.501,135.037,185.159,-50.122
0.601,171.786,225.388,-53.602
0.701,208.535,261.811,-53.275
0.801,244.849,295.407,-50.557
0.901,279.207,333.352,-54.145
1.001,313.129,365.208,-52.079
1.101,351.618,397.174,-45.556
1.201,389.78,429.574,-39.793
1.301,429.574,463.931,-34.357
1.402,467.628,497.853,-30.226
1.502,503.942,530.906,-26.964
1.602,540.039,563.306,-23.267
1.702,575.375,595.38,-20.005
1.802,615.385,627.671,-12.286
1.902,656.375,659.854,-3.479
2.002,697.691,692.037,5.654
2.102,736.832,726.394,10.438
2.202,771.406,760.208,11.199
2.303,808.59,793.804,14.787
2.403,847.405,826.965,20.44
2.503,881.219,860.235,20.984
2.603,915.033,893.396,21.636
2.703,949.607,927.862,21.745
2.803,989.944,961.241,28.703
2.903,1028.107,997.664,30.443
3.003,1065.4,1032.13,33.27
3.103,1099.974,1064.312,35.662
3.204,1135.419,1097.909,37.51
3.304,1176.408,1134.223,42.185
3.404,1214.136,1169.015,45.121
3.504,1249.689,1205.982,43.708
3.604,1287.634,1245.014,42.62
3.704,1323.188,1281.763,41.424
3.804,1358.849,1317.86,40.989
3.904,1395.707,1357.871,37.836
4.004,1432.239,1396.577,35.662
4.104,1467.575,1431.587,35.988
4.205,1502.584,1466.379,36.206
4.305,1538.138,1508.89,29.247
4.405,1574.778,1545.096,29.682
4.505,1610.766,1580.975,29.791
4.605,1643.819,1616.963,26.855
4.705,1678.502,1654.474,24.028
4.805,1712.424,1690.897,21.528
4.905,1748.847,1730.255,18.592
5.005,1784.183,1765.7,18.483
5.106,1819.736,1802.558,17.179
5.206,1856.159,1842.46,13.699
5.306,1890.734,1879.644,11.09
5.406,1926.613,1914.11,12.503
5.506,1961.514,1946.945,14.569
5.606,1994.24,1982.607,11.634
5.706,2029.467,2017.508,11.96
5.806,2062.194,2056.105,6.089
5.906,2099.052,2090.897,8.154
6.007,2133.083,2126.016,7.067
6.107,2170.484,2166.353,4.132
6.207,2206.037,2207.886,-1.848
6.307,2243.221,2242.569,0.652
6.407,2278.34,2281.71,-3.37
6.507,2315.198,2315.198,0.0
6.607,2347.054,2353.578,-6.524
6.707,2383.477,2393.589,-10.111
6.807,2422.51,2430.012,-7.502
6.908,2460.02,2467.848,-7.828
7.008,2493.29,2509.164,-15.874
7.108,2530.256,2545.26,-15.004
7.208,2565.81,2579.4,-13.591
7.308,2602.45,2614.41,-11.96
7.408,2638.982,2649.963,-10.981
7.508,2674.209,2691.17,-16.961
7.608,2711.067,2726.941,-15.874
7.708,2744.228,2759.667,-15.439
7.809,2783.695,2797.721,-14.026
